propertyCode,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,price,logPrice,pricePerSquareMeter,logPricePerSquareMeter
33841020,flat,75.0,1,1,Alvalade,38.7516728,-9.165872,good,False,True,False,True,True,1300.0,7.170119543449628,17.333333333333332,0.09560159391266171
33886687,flat,138.0,3,1,Misericórdia,38.7150407,-9.1518478,good,False,False,False,False,False,6000.0,8.699514748210191,43.47826086956522,0.06303996194355212
33885000,flat,76.0,2,2,São Vicente,38.7146512,-9.1310252,good,False,False,False,False,False,2000.0,7.600902459542082,26.31578947368421,0.10001187446765898
33886326,flat,50.0,1,1,Arroios,38.730516,-9.1368618,good,False,True,False,False,False,1400.0,7.24422751560335,28.0,0.14488455031206698
31297050,studio,39.0,0,1,Areeiro,38.7435089,-9.1332258,good,False,False,False,False,False,750.0,6.620073206530356,19.23076923076923,0.16974546683411168
33886311,flat,120.0,1,2,Avenidas Novas,38.7350572,-9.1549784,good,False,True,False,False,False,1550.0,7.346010209913293,12.916666666666666,0.06121675174927744
33886250,flat,101.0,1,1,Santo António,38.7236431,-9.151269,good,False,True,False,False,False,3000.0,8.006367567650246,29.702970297029704,0.07927096601633907
33886233,flat,190.0,4,4,Avenidas Novas,38.7326051,-9.1509029,good,False,True,False,True,True,6000.0,8.699514748210191,31.57894736842105,0.04578691972742206
33868612,studio,65.0,0,1,Alvalade,38.7548792,-9.1373885,good,False,False,False,False,False,1100.0,7.003065458786462,16.923076923076923,0.1077394685967148
33886065,flat,52.0,1,1,Misericórdia,38.7111291,-9.1436046,good,False,False,False,False,False,1500.0,7.313220387090301,28.846153846153847,0.1406388535978904
33886072,flat,55.0,1,1,Arroios,38.7245007,-9.1402865,good,False,True,False,False,False,1500.0,7.313220387090301,27.272727272727273,0.13296764340164186
33828785,flat,40.0,1,1,Avenidas Novas,38.7368146,-9.1430164,good,False,True,False,False,False,1600.0,7.3777589082278725,40.0,0.18444397270569682
33880005,flat,162.0,3,3,Areeiro,38.7431106,-9.1389765,good,False,True,False,True,True,2700.0,7.90100705199242,16.666666666666668,0.04877164846908901
33885716,flat,119.0,3,3,Alcântara,38.7048218,-9.1829355,good,False,True,False,False,False,3500.0,8.160518247477505,29.41176470588235,0.06857578359224795
33885766,flat,71.0,2,2,São Vicente,38.7189231,-9.1292394,good,False,False,False,False,False,1700.0,7.438383530044307,23.943661971830984,0.10476596521189165
33885718,flat,84.0,2,1,Penha de França,38.7292606,-9.1231649,good,False,False,False,False,False,1300.0,7.170119543449628,15.476190476190476,0.08535856599344796
32417351,flat,35.0,1,1,Santa Maria Maior,38.712084,-9.1321605,good,False,False,False,False,False,850.0,6.745236349484363,24.285714285714285,0.19272103855669606
33885573,flat,118.0,3,3,Belém,38.7061431,-9.2100146,good,False,True,False,True,True,2300.0,7.7406644019172415,19.491525423728813,0.06559885086370544
33885540,flat,49.0,1,1,Campo de Ourique,38.7182094,-9.1679971,good,False,True,False,False,False,1100.0,7.003065458786462,22.448979591836736,0.14291970324054004
30730902,flat,81.0,2,2,Arroios,38.7208042,-9.1421582,good,False,True,False,True,True,2700.0,7.90100705199242,33.333333333333336,0.09754329693817802
33885484,flat,147.0,4,2,Arroios,38.7326918,-9.1443343,good,False,False,False,False,False,1800.0,7.495541943884256,12.244897959183673,0.05099008125091331
33885394,flat,50.0,1,1,Campo de Ourique,38.7189646,-9.166269,good,False,True,False,False,False,1150.0,7.047517221357296,23.0,0.14095034442714593
33885224,flat,101.0,1,2,Campo de Ourique,38.7194208,-9.1603432,good,False,False,False,True,True,1900.0,7.549609165154532,18.81188118811881,0.07474860559558942
33885241,flat,123.0,3,2,Penha de França,38.7251452,-9.1210844,good,False,False,False,False,False,1800.0,7.495541943884256,14.634146341463415,0.06093936539743298
33815610,flat,70.0,1,1,Parque das Nações,38.7590481,-9.0964899,good,False,True,False,True,True,1450.0,7.27931883541462,20.714285714285715,0.10399026907735172
33885170,flat,88.0,2,2,Benfica,38.747029,-9.1929234,good,False,True,False,False,False,1400.0,7.24422751560335,15.909090909090908,0.08232076722276534
33885103,flat,50.0,1,1,Belém,38.7035943,-9.2040646,good,False,False,False,False,False,1200.0,7.090076835776092,24.0,0.14180153671552184
33885052,flat,71.0,2,1,Penha de França,38.7255165,-9.1185129,good,False,True,False,False,False,1450.0,7.27931883541462,20.422535211267604,0.10252561740020592
33884983,flat,180.0,4,3,Arroios,38.7327342,-9.1395909,good,False,False,False,False,False,2750.0,7.919356190660617,15.277777777777779,0.04399642328144787
33884897,flat,101.0,1,2,Campo de Ourique,38.7192052,-9.1598407,good,False,True,False,True,True,1900.0,7.549609165154532,18.81188118811881,0.07474860559558942
33884925,flat,60.0,1,1,Arroios,38.7168709,-9.1383975,good,False,False,False,False,False,1300.0,7.170119543449628,21.666666666666668,0.11950199239082714
33866457,flat,210.0,4,2,Parque das Nações,38.7740833,-9.092051,good,False,False,False,True,True,3500.0,8.160518247477505,16.666666666666668,0.03885961070227383
33884755,flat,90.0,1,1,Campolide,38.7245459,-9.1649401,good,False,False,False,False,False,1200.0,7.090076835776092,13.333333333333334,0.07877863150862324
33881872,flat,50.0,3,2,Santa Maria Maior,38.7082215,-9.1413825,good,False,False,False,False,False,10500.0,9.259130536145614,210.0,0.18518261072291228
