propertyCode,size,rooms,bathrooms,municipality,latitude,longitude,newDevelopment,hasLift,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew
33811137,80.0,3,1,Benfica,38.7501613,-9.1986692,0,1,0,0,0,0,0,1,0,0,1,0,0
33891227,110.0,3,2,Lumiar,38.7595717,-9.1747445,0,1,0,0,0,0,0,1,0,0,1,0,0
33891129,60.0,1,1,Avenidas Novas,38.745542,-9.1537838,0,1,0,0,0,0,0,1,0,0,1,0,0
33890296,36.0,1,1,Santa Maria Maior,38.7124657,-9.1269904,0,1,0,0,0,0,0,1,0,0,1,0,0
33890258,109.0,2,2,Santo António,38.7201548,-9.1508794,0,1,0,0,0,0,0,1,0,0,1,0,0
33890245,204.0,4,2,Estrela,38.7145517,-9.1643881,0,0,0,0,0,0,0,1,0,0,1,0,0
33890243,74.0,2,2,Arroios,38.7277529,-9.1318187,0,1,0,0,0,0,0,1,0,0,1,0,0
33883206,90.0,2,2,Avenidas Novas,38.7367092,-9.1467676,0,1,0,0,0,0,0,1,0,0,1,0,0
33883204,78.0,2,1,Penha de França,38.7367136,-9.1268919,0,1,0,0,0,0,0,1,0,0,1,0,0
33883193,63.0,1,1,Santa Maria Maior,38.7094431,-9.1427514,0,1,0,0,0,0,0,1,0,0,1,0,0
33883192,132.0,2,3,Santa Maria Maior,38.7097257,-9.1415708,0,1,0,0,0,0,0,1,0,0,1,0,0
33890215,49.0,1,2,São Domingos de Benfica,38.7483604,-9.1692865,0,0,0,0,0,0,0,1,0,0,1,0,0
33890196,70.0,2,1,Ajuda,38.7029794,-9.2000569,0,0,0,0,0,0,0,1,0,0,1,0,0
33890195,115.0,2,2,Campolide,38.7388534,-9.1689848,0,0,0,1,1,0,0,1,0,0,1,0,0
33890192,71.0,2,2,São Vicente,38.7189122,-9.1281569,0,1,0,0,0,0,0,1,0,0,1,0,0
33235308,72.0,2,1,Arroios,38.7254698,-9.1318901,0,0,0,0,0,0,0,1,0,0,1,0,0
31959300,70.0,1,1,Penha de França,38.7267775,-9.1286697,0,0,0,0,0,0,0,1,0,0,1,0,0
33890075,55.0,1,1,Penha de França,38.7293272,-9.1298806,0,0,0,0,0,0,0,1,0,0,1,0,0
32956784,68.0,1,1,Arroios,38.7324041,-9.1454902,0,1,0,1,1,0,0,1,0,0,1,0,0
33889976,115.0,2,2,Carnide,38.7645694,-9.1790171,0,1,0,1,1,0,0,1,0,0,1,0,0
33890060,80.0,2,1,Penha de França,38.737095,-9.1306433,0,1,0,0,0,0,0,1,0,0,1,0,0
33889695,81.0,2,3,Santa Maria Maior,38.7148803,-9.141569,0,1,0,0,0,0,0,1,0,0,1,0,0
33889865,115.0,2,2,Arroios,38.7189254,-9.1324351,0,1,0,0,0,0,0,1,0,0,1,0,0
33855158,65.0,1,1,Campolide,38.7306853,-9.1555619,0,0,0,0,0,0,0,1,0,0,1,0,0
33889598,70.0,1,1,Santo António,38.728883,-9.1469055,0,0,0,0,0,0,0,1,0,0,1,0,0
33889591,65.0,2,2,Campolide,38.7284523,-9.1653422,0,0,0,0,0,0,0,1,0,0,1,0,0
33889590,70.0,2,1,São Vicente,38.7190018,-9.1338909,0,0,0,0,0,0,0,1,0,0,1,0,0
33857881,65.0,2,1,Campolide,38.7258772,-9.1657682,0,0,0,0,0,0,0,1,0,0,1,0,0
33889587,50.0,0,1,Santo António,38.7207121,-9.1501973,0,0,0,0,0,0,0,0,0,1,1,0,0
33873673,110.0,2,2,Misericórdia,38.706278,-9.1476196,0,0,0,0,0,0,0,1,0,0,1,0,0
